Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
1660.89,4,5,14,233.78,94.56,38.01,0.25,804.78,632.08,39.53,219.64,258.03,2,0.8,1387,0.4,2,52.42,105.91,1.05,3
3.64,5,28,61,36.14,29.41,9,0.63,302.25,634.6,121.06,21.68,38.96,5,0.89,342,0.46,1.62,86.81,84.73,1.06,4
0.84,11,50,111,49.17,33.15,15.87,0.52,597.48,1059.25,172.22,31.51,43.88,8,0.88,805,0.54,1.52,85.65,81.35,1.06,4
0.87,10,29,68,37.61,29.05,17.54,0.62,386.14,818.87,154.16,24.92,32.19,6,0.93,312,0.56,1.46,88.26,85.64,1.04,4
152.4,8,10,28,37.28,24.35,6,1.04,166.88,537.64,145.03,23.39,45.12,4,0.92,107,0.42,2.04,90.63,94.58,1.04,4
109.26,8,6,20,47.8,19.67,11,0.65,157.24,332.44,61.87,26.83,29.51,2,0.91,114,0.33,1.53,88.53,64.31,1.04,4
88.97,7,7,21,45.32,22.29,6,0.69,150.42,336.67,64.03,27,29.96,2,0.92,105,0.43,2.1,62.84,62.08,1.04,4
105.55,5,8,21,37.79,25.14,10,0.74,116.62,272.18,54.26,30.41,33.05,4,0.94,79,0.44,1.56,58.84,70.46,1.04,4
110.82,6,7,20,22.8,17.69,12,0.61,80.87,157.87,27.71,16.21,20.19,3,0.93,62,0.43,1.42,95.03,85.58,1.05,4
106.56,7,4,15,32.93,23.02,12,0.69,99.05,210.85,38.09,24.56,34.83,2,0.93,60,0.5,1.97,92.63,90.03,1.03,4
98.21,7,4,15,28.53,21.16,14,0.56,93.29,167.53,25.55,16.51,21.06,2,0.9,67,0.25,1.95,90.14,99.99,1.07,4
68.54,5,3,11,30,14.55,11,0.68,70.66,148.36,26.22,19.67,22.38,2,0.93,49,0.33,1.38,102.9,91.97,1.04,4
